1-letter	2-letter	IPA	Example(s)
a	AA	ɑ	b*al*m, b*o*t
@	AE	æ	b*a*t
A	AH	ʌ	b*u*tt
c	AO	ɔ	st*o*ry
W	AW	aʊ	b*ou*t
x	AX	ə	comm*a*
N/A	AXR	ɚ	lett*er*
Y	AY	aɪ	b*i*te
E	EH	ɛ	b*e*t
R	ER	ɝ	b*ir*d
e	EY	eɪ	b*ai*t
I	IH	ɪ	b*i*t
X	IX	ɨ	ros*e*s, rabb*i*t
i	IY	i	b*ea*t
o	OW	oʊ	b*oa*t
O	OY	ɔɪ	b*oy*
U	UH	ʊ	b*oo*k
u	UW	u	b*oo*t
N/A	UX	ʉ	d*u*de
b	B	b	*b*uy
C	CH	tʃ	*Ch*ina
d	D	d	*d*ie
D	DH	ð	*th*y
F	DX	ɾ	bu*tt*er
L	EL	l̩	bott*le*
M	EM	m̩	rhyth*m*
N	EN	n̩	butt*on*
f	F	f	*f*ight
g	G	ɡ	*g*uy
h	HH *or* H	h	*h*igh
J	JH	dʒ	*j*ive
k	K	k	*k*ite
l	L	l	*l*ie
m	M	m	*m*y
n	N	n	*n*igh
G	NX *or* NG	ŋ	si*ng*
N/A	NX	ɾ̃	wi*nn*er
p	P	p	*p*ie
Q	Q	ʔ	uh*-*oh
r	R	ɹ	*r*ye
s	S	s	*s*igh
S	SH	ʃ	*sh*y
t	T	t	*t*ie
T	TH	θ	*th*igh
v	V	v	*v*ie
w	W	w	*w*ise
H	WH	ʍ	*wh*y
y	Y	j	*y*acht
z	Z	z	*z*oo
Z	ZH	ʒ	plea*s*ure
